Genesis 1:1	In the beginning God created the heaven and the earth.
2 Chronicles 13:7	And there are gathered unto him vain men, the children of Belial, and have strengthened themselves against Rehoboam the son of Solomon, when Rehoboam was young and tenderhearted, and could not withstand them.
2 Chronicles 13:17	And Abijah and his people slew them with a great slaughter: so there fell down slain of Israel five hundred thousand chosen men.
2 Chronicles 14:5	Also he took away out of all the cities of Judah the high places and the images: and the kingdom was quiet before him.
2 Chronicles 14:15	They smote also the tents of cattle, and carried away sheep and camels in abundance, and returned to Jerusalem.
2 Chronicles 15:10	So they gathered themselves together at Jerusalem in the third month, in the fifteenth year of the reign of Asa.
2 Chronicles 16:1	In the six and thirtieth year of the reign of Asa Baasha king of Israel came up against Judah, and built Ramah, to the intent that he might let none go out or come in to Asa king of Judah.
2 Chronicles 16:11	And, behold, the acts of Asa, first and last, lo, they are written in the book of the kings of Judah and Israel.
2 Chronicles 17:7	Also in the third year of his reign he sent to his princes, even to Benhail, and to Obadiah, and to Zechariah, and to Nethaneel, and to Michaiah, to teach in the cities of Judah.
2 Chronicles 17:17	And of Benjamin; Eliada a mighty man of valor, and with him armed men with bow and shield two hundred thousand.
2 Chronicles 18:8	And the king of Israel called for one of his officers, and said, Fetch quickly Micaiah the son of Imla.
2 Chronicles 18:18	Again he said, Therefore hear the word of the LORD; I saw the LORD sitting upon his throne, and all the host of heaven standing on his right hand and on his left.
2 Chronicles 18:28	So the king of Israel and Jehoshaphat the king of Judah went up to Ramothgilead.
2 Chronicles 19:4	And Jehoshaphat dwelt at Jerusalem: and he went out again through the people from Beersheba to mount Ephraim, and brought them back unto the LORD God of their fathers.
2 Chronicles 20:3	And Jehoshaphat feared, and set himself to seek the LORD, and proclaimed a fast throughout all Judah.
2 Chronicles 20:13	And all Judah stood before the LORD, with their little ones, their wives, and their children.
2 Chronicles 20:23	For the children of Ammon and Moab stood up against the inhabitants of mount Seir, utterly to slay and destroy them: and when they had made an end of the inhabitants of Seir, every one helped to destroy another.
2 Chronicles 20:33	Howbeit the high places were not taken away: for as yet the people had not prepared their hearts unto the God of their fathers.
2 Chronicles 21:6	And he walked in the way of the kings of Israel, like as did the house of Ahab: for he had the daughter of Ahab to wife: and he wrought that which was evil in the eyes of the LORD.
2 Chronicles 21:16	Moreover the LORD stirred up against Jehoram the spirit of the Philistines, and of the Arabians, that were near the Ethiopians:
2 Chronicles 22:6	And he returned to be healed in Jezreel because of the wounds which were given him at Ramah, when he fought with Hazael king of Syria. And Azariah the son of Jehoram king of Judah went down to see Jehoram the son of Ahab at Jezreel, because he was sick.
2 Chronicles 23:4	This is the thing that ye shall do; A third part of you entering on the sabbath, of the priests and of the Levites, shall be porters of the doors;
2 Chronicles 23:14	Then Jehoiada the priest brought out the captains of hundreds that were set over the host, and said unto them, Have her forth of the ranges: and whoso followeth her, let him be slain with the sword. For the priest said, Slay her not in the house of the LORD.
2 Chronicles 24:3	And Jehoiada took for him two wives; and he begat sons and daughters.
2 Chronicles 24:13	So the workmen wrought, and the work was perfected by them, and they set the house of God in his state, and strengthened it.
2 Chronicles 24:23	And it came to pass at the end of the year, that the host of Syria came up against him: and they came to Judah and Jerusalem, and destroyed all the princes of the people from among the people, and sent all the spoil of them unto the king of Damascus.
2 Chronicles 25:6	He hired also an hundred thousand mighty men of valor out of Israel for an hundred talents of silver.
2 Chronicles 25:16	And it came to pass, as he talked with him, that the king said unto him, Art thou made of the king's counsel? forbear; why shouldest thou be smitten? Then the prophet forbare, and said, I know that God hath determined to destroy thee, because thou hast done this, and hast not hearkened unto my counsel.
2 Chronicles 25:26	Now the rest of the acts of Amaziah, first and last, behold, are they not written in the book of the kings of Judah and Israel?
2 Chronicles 26:8	And the Ammonites gave gifts to Uzziah: and his name spread abroad even to the entering in of Egypt; for he strengthened himself exceedingly.
2 Chronicles 26:18	And they withstood Uzziah the king, and said unto him, It appertaineth not unto thee, Uzziah, to burn incense unto the LORD, but to the priests the sons of Aaron, that are consecrated to burn incense: go out of the sanctuary; for thou hast trespassed; neither shall it be for thine honor from the LORD God.
2 Chronicles 27:5	He fought also with the king of the Ammonites, and prevailed against them. And the children of Ammon gave him the same year an hundred talents of silver, and ten thousand measures of wheat, and ten thousand of barley. So much did the children of Ammon pay unto him, both the second year, and the third.
2 Chronicles 28:6	For Pekah the son of Remaliah slew in Judah an hundred and twenty thousand in one day, which were all valiant men; because they had forsaken the LORD God of their fathers.
2 Chronicles 28:16	At that time did king Ahaz send unto the kings of Assyria to help him.
2 Chronicles 28:26	Now the rest of his acts and of all his ways, first and last, behold, they are written in the book of the kings of Judah and Israel.
2 Chronicles 29:9	For, lo, our fathers have fallen by the sword, and our sons and our daughters and our wives are in captivity for this.
2 Chronicles 29:19	Moreover all the vessels, which king Ahaz in his reign did cast away in his transgression, have we prepared and sanctified, and, behold, they are before the altar of the LORD.
2 Chronicles 29:29	And when they had made an end of offering, the king and all that were present with him bowed themselves, and worshipped.
2 Chronicles 30:3	For they could not keep it at that time, because the priests had not sanctified themselves sufficiently, neither had the people gathered themselves together to Jerusalem.
2 Chronicles 30:13	And there assembled at Jerusalem much people to keep the feast of unleavened bread in the second month, a very great congregation.
2 Chronicles 30:23	And the whole assembly took counsel to keep other seven days: and they kept other seven days with gladness.
2 Chronicles 31:6	And concerning the children of Israel and Judah, that dwelt in the cities of Judah, they also brought in the tithe of oxen and sheep, and the tithe of holy things which were consecrated unto the LORD their God, and laid them by heaps.
2 Chronicles 31:16	Beside their genealogy of males, from three years old and upward, even unto every one that entereth into the house of the LORD, his daily portion for their service in their charges according to their courses;
2 Chronicles 32:5	Also he strengthened himself, and built up all the wall that was broken, and raised it up to the towers, and another wall without, and repaired Millo in the city of David, and made darts and shields in abundance.
2 Chronicles 32:15	Now therefore let not Hezekiah deceive you, nor persuade you on this manner, neither yet believe him: for no god of any nation or kingdom was able to deliver his people out of mine hand, and out of the hand of my fathers: how much less shall your God deliver you out of mine hand?
2 Chronicles 32:25	But Hezekiah rendered not again according to the benefit done unto him; for his heart was lifted up: therefore there was wrath upon him, and upon Judah and Jerusalem.
2 Chronicles 33:2	But did that which was evil in the sight of the LORD, like unto the abominations of the heathen, whom the LORD had cast out before the children of Israel.
2 Chronicles 33:12	And when he was in affliction, he besought the LORD his God, and humbled himself greatly before the God of his fathers,
2 Chronicles 33:22	But he did that which was evil in the sight of the LORD, as did Manasseh his father: for Amon sacrificed unto all the carved images which Manasseh his father had made, and served them;
2 Chronicles 34:7	And when he had broken down the altars and the groves, and had beaten the graven images into powder, and cut down all the idols throughout all the land of Israel, he returned to Jerusalem.
2 Chronicles 34:17	And they have gathered together the money that was found in the house of the LORD, and have delivered it into the hand of the overseers, and to the hand of the workmen.
2 Chronicles 34:27	Because thine heart was tender, and thou didst humble thyself before God, when thou heardest his words against this place, and against the inhabitants thereof, and humbledst thyself before me, and didst rend thy clothes, and weep before me; I have even heard thee also, saith the LORD.
2 Chronicles 35:4	And prepare yourselves by the houses of your fathers, after your courses, according to the writing of David king of Israel, and according to the writing of Solomon his son.
2 Chronicles 35:14	And afterward they made ready for themselves, and for the priests: because the priests the sons of Aaron were busied in offering of burnt offerings and the fat until night; therefore the Levites prepared for themselves, and for the priests the sons of Aaron.
2 Chronicles 35:24	His servants therefore took him out of that chariot, and put him in the second chariot that he had; and they brought him to Jerusalem, and he died, and was buried in one of the sepulchres of his fathers. And all Judah and Jerusalem mourned for Josiah.
2 Chronicles 36:7	Nebuchadnezzar also carried of the vessels of the house of the LORD to Babylon, and put them in his temple at Babylon.
2 Chronicles 36:17	Therefore he brought upon them the king of the Chaldees, who slew their young men with the sword in the house of their sanctuary, and had no compassion upon young man or maiden, old man, or him that stooped for age: he gave them all into his hand.
Ezra 1:4	And whosoever remaineth in any place where he sojourneth, let the men of his place help him with silver, and with gold, and with goods, and with beasts, beside the freewill offering for the house of God that is in Jerusalem.
Ezra 2:3	The children of Parosh, two thousand an hundred seventy and two.
Ezra 2:13	The children of Adonikam, six hundred sixty and six.
Ezra 2:23	The men of Anathoth, an hundred twenty and eight.
Ezra 2:33	The children of Lod, Hadid, and Ono, seven hundred twenty and five.
Ezra 2:43	The Nethinims: the children of Ziha, the children of Hasupha, the children of Tabbaoth,
Ezra 2:53	The children of Barkos, the children of Sisera, the children of Thamah,
Ezra 2:63	And the Tirshatha said unto them, that they should not eat of the most holy things, till there stood up a priest with Urim and with Thummim.
Ezra 3:3	And they set the altar upon his bases; for fear was upon them because of the people of those countries: and they offered burnt offerings thereon unto the LORD, even burnt offerings morning and evening.
Ezra 3:13	So that the people could not discern the noise of the shout of joy from the noise of the weeping of the people: for the people shouted with a loud shout, and the noise was heard afar off.
Ezra 4:10	And the rest of the nations whom the great and noble Asnapper brought over, and set in the cities of Samaria, and the rest that are on this side the river, and at such a time.
Ezra 4:20	There have been mighty kings also over Jerusalem, which have ruled over all countries beyond the river; and toll, tribute, and custom, was paid unto them.
Ezra 5:6	The copy of the letter that Tatnai, governor on this side the river, and Shetharboznai and his companions the Apharsachites, which were on this side the river, sent unto Darius the king:
Ezra 5:16	Then came the same Sheshbazzar, and laid the foundation of the house of God which is in Jerusalem: and since that time even until now hath it been in building, and yet it is not finished.
Ezra 6:9	And that which they have need of, both young bullocks, and rams, and lambs, for the burnt offerings of the God of heaven, wheat, salt, wine, and oil, according to the appointment of the priests which are at Jerusalem, let it be given them day by day without fail:
Ezra 6:19	And the children of the captivity kept the passover upon the fourteenth day of the first month.
Ezra 7:7	And there went up some of the children of Israel, and of the priests, and the Levites, and the singers, and the porters, and the Nethinims, unto Jerusalem, in the seventh year of Artaxerxes the king.
Ezra 7:17	That thou mayest buy speedily with this money bullocks, rams, lambs, with their meat offerings and their drink offerings, and offer them upon the altar of the house of your God which is in Jerusalem.
Ezra 7:27	Blessed be the LORD God of our fathers, which hath put such a thing as this in the king's heart, to beautify the house of the LORD which is in Jerusalem:
Ezra 8:9	Of the sons of Joab; Obadiah the son of Jehiel, and with him two hundred and eighteen males.
Ezra 8:19	And Hashabiah, and with him Jeshaiah of the sons of Merari, his brethren and their sons, twenty;
Ezra 8:29	Watch ye, and keep them, until ye weigh them before the chief of the priests and the Levites, and chief of the fathers of Israel, at Jerusalem, in the chambers of the house of the LORD.
Ezra 9:3	And when I heard this thing, I rent my garment and my mantle, and plucked off the hair of my head and of my beard, and sat down astonied.
Ezra 9:13	And after all that is come upon us for our evil deeds, and for our great trespass, seeing that thou our God hast punished us less than our iniquities deserve, and hast given us such deliverance as this;
Ezra 10:8	And that whosoever would not come within three days, according to the counsel of the princes and the elders, all his substance should be forfeited, and himself separated from the congregation of those that had been carried away.
Ezra 10:18	And among the sons of the priests there were found that had taken strange wives: namely, of the sons of Jeshua the son of Jozadak, and his brethren; Maaseiah, and Eliezer, and Jarib, and Gedaliah.
Ezra 10:28	Of the sons also of Bebai; Jehohanan, Hananiah, Zabbai, and Athlai.
Ezra 10:38	And Bani, and Binnui, Shimei,
Nehemiah 1:4	And it came to pass, when I heard these words, that I sat down and wept, and mourned certain days, and fasted, and prayed before the God of heaven,
Nehemiah 2:3	And said unto the king, Let the king live for ever: why should not my countenance be sad, when the city, the place of my fathers' sepulchres, lieth waste, and the gates thereof are consumed with fire?
Nehemiah 2:13	And I went out by night by the gate of the valley, even before the dragon well, and to the dung port, and viewed the walls of Jerusalem, which were broken down, and the gates thereof were consumed with fire.
Nehemiah 3:3	But the fish gate did the sons of Hassenaah build, who also laid the beams thereof, and set up the doors thereof, the locks thereof, and the bars thereof.
Nehemiah 3:13	The valley gate repaired Hanun, and the inhabitants of Zanoah; they built it, and set up the doors thereof, the locks thereof, and the bars thereof, and a thousand cubits on the wall unto the dung gate.
Nehemiah 3:23	After him repaired Benjamin and Hashub over against their house. After him repaired Azariah the son of Maaseiah the son of Ananiah by his house.
Nehemiah 4:1	But it came to pass, that when Sanballat heard that we builded the wall, he was wroth, and took great indignation, and mocked the Jews.
Nehemiah 4:11	And our adversaries said, They shall not know, neither see, till we come in the midst among them, and slay them, and cause the work to cease.
Nehemiah 4:21	So we laboured in the work: and half of them held the spears from the rising of the morning till the stars appeared.
Nehemiah 5:8	And I said unto them, We after our ability have redeemed our brethren the Jews, which were sold unto the heathen; and will ye even sell your brethren? or shall they be sold unto us? Then held they their peace, and found nothing to answer.
Nehemiah 5:18	Now that which was prepared for me daily was one ox and six choice sheep; also fowls were prepared for me, and once in ten days store of all sorts of wine: yet for all this required not I the bread of the governor, because the bondage was heavy upon this people.
Nehemiah 6:9	For they all made us afraid, saying, Their hands shall be weakened from the work, that it be not done. Now therefore, O God, strengthen my hands.
Nehemiah 6:19	Also they reported his good deeds before me, and uttered my words to him. And Tobiah sent letters to put me in fear.
Nehemiah 7:10	The children of Arah, six hundred fifty and two.
Nehemiah 7:20	The children of Adin, six hundred fifty and five.
Nehemiah 7:30	The men of Ramah and Gaba, six hundred twenty and one.
Nehemiah 7:40	The children of Immer, a thousand fifty and two.
Nehemiah 7:50	The children of Reaiah, the children of Rezin, the children of Nekoda,
Nehemiah 7:60	All the Nethinims, and the children of Solomon's servants, were three hundred ninety and two.
Nehemiah 7:70	And some of the chief of the fathers gave unto the work. The Tirshatha gave to the treasure a thousand drams of gold, fifty basons, five hundred and thirty priests' garments.
Nehemiah 8:7	Also Jeshua, and Bani, and Sherebiah, Jamin, Akkub, Shabbethai, Hodijah, Maaseiah, Kelita, Azariah, Jozabad, Hanan, Pelaiah, and the Levites, caused the people to understand the law: and the people stood in their place.
Nehemiah 8:17	And all the congregation of them that were come again out of the captivity made booths, and sat under the booths: for since the days of Jeshua the son of Nun unto that day had not the children of Israel done so. And there was very great gladness.
Nehemiah 9:9	And didst see the affliction of our fathers in Egypt, and heardest their cry by the Red sea;
Nehemiah 9:19	Yet thou in thy manifold mercies forsookest them not in the wilderness: the pillar of the cloud departed not from them by day, to lead them in the way; neither the pillar of fire by night, to shew them light, and the way wherein they should go.
Nehemiah 9:29	And testifiedst against them, that thou mightest bring them again unto thy law: yet they dealt proudly, and hearkened not unto thy commandments, but sinned against thy judgments, (which if a man do, he shall live in them;) and withdrew the shoulder, and hardened their neck, and would not hear.
Nehemiah 10:1	Now those that sealed were, Nehemiah, the Tirshatha, the son of Hachaliah, and Zidkijah,
Nehemiah 10:11	Micha, Rehob, Hashabiah,
Nehemiah 10:21	Meshezabeel, Zadok, Jaddua,
Nehemiah 10:31	And if the people of the land bring ware or any victuals on the sabbath day to sell, that we would not buy it of them on the sabbath, or on the holy day: and that we would leave the seventh year, and the exaction of every debt.
Nehemiah 11:2	And the people blessed all the men, that willingly offered themselves to dwell at Jerusalem.
Nehemiah 11:12	And their brethren that did the work of the house were eight hundred twenty and two: and Adaiah the son of Jeroham, the son of Pelaliah, the son of Amzi, the son of Zechariah, the son of Pashur, the son of Malchiah.
Nehemiah 11:22	The overseer also of the Levites at Jerusalem was Uzzi the son of Bani, the son of Hashabiah, the son of Mattaniah, the son of Micha. Of the sons of Asaph, the singers were over the business of the house of God.
Nehemiah 11:32	And at Anathoth, Nob, Ananiah,
Nehemiah 12:6	Shemaiah, and Joiarib, Jedaiah,
Nehemiah 12:16	Of Iddo, Zechariah; of Ginnethon, Meshullam;
Nehemiah 12:26	These were in the days of Joiakim the son of Jeshua, the son of Jozadak, and in the days of Nehemiah the governor, and of Ezra the priest, the scribe.
Nehemiah 12:36	And his brethren, Shemaiah, and Azarael, Milalai, Gilalai, Maai, Nethaneel, and Judah, Hanani, with the musical instruments of David the man of God, and Ezra the scribe before them.
Nehemiah 12:46	For in the days of David and Asaph of old there were chief of the singers, and songs of praise and thanksgiving unto God.
Nehemiah 13:9	Then I commanded, and they cleansed the chambers: and thither brought I again the vessels of the house of God, with the meat offering and the frankincense.
Nehemiah 13:19	And it came to pass, that when the gates of Jerusalem began to be dark before the sabbath, I commanded that the gates should be shut, and charged that they should not be opened till after the sabbath: and some of my servants set I at the gates, that there should no burden be brought in on the sabbath day.
Nehemiah 13:29	Remember them, O my God, because they have defiled the priesthood, and the covenant of the priesthood, and of the Levites.
Esther 1:8	And the drinking was according to the law; none did compel: for so the king had appointed to all the officers of his house, that they should do according to every man's pleasure.
Esther 1:18	Likewise shall the ladies of Persia and Media say this day unto all the king's princes, which have heard of the deed of the queen. Thus shall there arise too much contempt and wrath.
Esther 2:6	Who had been carried away from Jerusalem with the captivity which had been carried away with Jeconiah king of Judah, whom Nebuchadnezzar the king of Babylon had carried away.
Esther 2:16	So Esther was taken unto king Ahasuerus into his house royal in the tenth month, which is the month Tebeth, in the seventh year of his reign.
Esther 3:3	Then the king's servants, which were in the king's gate, said unto Mordecai, Why transgressest thou the king's commandment?
Esther 3:13	And the letters were sent by posts into all the king's provinces, to destroy, to kill, and to cause to perish, all Jews, both young and old, little children and women, in one day, even upon the thirteenth day of the twelfth month, which is the month Adar, and to take the spoil of them for a prey.
Esther 4:8	Also he gave him the copy of the writing of the decree that was given at Shushan to destroy them, to shew it unto Esther, and to declare it unto her, and to charge her that she should go in unto the king, to make supplication unto him, and to make request before him for her people.
Esther 5:1	Now it came to pass on the third day, that Esther put on her royal apparel, and stood in the inner court of the king's house, over against the king's house: and the king sat upon his royal throne in the royal house, over against the gate of the house.
Esther 5:11	And Haman told them of the glory of his riches, and the multitude of his children, and all the things wherein the king had promoted him, and how he had advanced him above the princes and servants of the king.
Esther 6:7	And Haman answered the king, For the man whom the king delighteth to honour,
Esther 7:3	Then Esther the queen answered and said, If I have found favour in thy sight, O king, and if it please the king, let my life be given me at my petition, and my people at my request:
Esther 8:3	And Esther spake yet again before the king, and fell down at his feet, and besought him with tears to put away the mischief of Haman the Agagite, and his device that he had devised against the Jews.
Esther 8:13	The copy of the writing for a commandment to be given in every province was published unto all people, and that the Jews should be ready against that day to avenge themselves on their enemies.
Esther 9:6	And in Shushan the palace the Jews slew and destroyed five hundred men.
Esther 9:16	But the other Jews that were in the king's provinces gathered themselves together, and stood for their lives, and had rest from their enemies, and slew of their foes seventy and five thousand, but they laid not their hands on the prey,
Esther 9:26	Wherefore they called these days Purim after the name of Pur. Therefore for all the words of this letter, and of that which they had seen concerning this matter, and which had come unto them,
Job 1:1	There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and eschewed evil.
Job 1:11	But put forth thine hand now, and touch all that he hath, and he will curse thee to thy face.
Job 1:21	And said, Naked came I out of my mother's womb, and naked shall I return thither: the LORD gave, and the LORD hath taken away; blessed be the name of the LORD.
Job 2:9	Then said his wife unto him, Dost thou still retain thine integrity? curse God, and die.
Job 3:6	As for that night, let darkness seize upon it; let it not be joined unto the days of the year, let it not come into the number of the months.
Job 3:16	Or as an hidden untimely birth I had not been; as infants which never saw light.
Job 3:26	I was not in safety, neither had I rest, neither was I quiet; yet trouble came.
Job 4:10	The roaring of the lion, and the voice of the fierce lion, and the teeth of the young lions, are broken.
Job 4:20	They are destroyed from morning to evening: they perish for ever without any regarding it.
Job 5:9	Which doeth great things and unsearchable; marvellous things without number:
Job 5:19	He shall deliver thee in six troubles: yea, in seven there shall no evil touch thee.
Job 6:2	Oh that my grief were throughly weighed, and my calamity laid in the balances together!
Job 6:12	Is my strength the strength of stones? or is my flesh of brass?
Job 6:22	Did I say, Bring unto me? or, Give a reward for me of your substance?
Job 7:2	As a servant earnestly desireth the shadow, and as an hireling looketh for the reward of his work:
Job 7:12	Am I a sea, or a whale, that thou settest a watch over me?
Job 8:1	Then answered Bildad the Shuhite, and said,
Job 8:11	Can the rush grow up without mire? can the flag grow without water?
Job 8:21	Till he fill thy mouth with laughing, and thy lips with rejoicing.
Job 9:9	Which maketh Arcturus, Orion, and Pleiades, and the chambers of the south.
Job 9:19	If I speak of strength, lo, he is strong: and if of judgment, who shall set me a time to plead?
Job 9:29	If I be wicked, why then labour I in vain?
Job 10:4	Hast thou eyes of flesh? or seest thou as man seeth?
Job 10:14	If I sin, then thou markest me, and thou wilt not acquit me from mine iniquity.
Job 11:2	Should not the multitude of words be answered? and should a man full of talk be justified?
Job 11:12	For vain men would be wise, though man be born like a wild ass's colt.
Job 12:2	No doubt but ye are the people, and wisdom shall die with you.
Job 12:12	With the ancient is wisdom; and in length of days understanding.
Job 12:22	He discovereth deep things out of darkness, and bringeth out to light the shadow of death.
Job 13:7	Will ye speak wickedly for God? and talk deceitfully for him?
Job 13:17	Hear diligently my speech, and my declaration with your ears.
Job 13:27	Thou puttest my feet also in the stocks, and lookest narrowly unto all my paths; thou settest a print upon the heels of my feet.
Job 14:9	Yet through the scent of water it will bud, and bring forth boughs like a plant.
Job 14:19	The waters wear the stones: thou washest away the things which grow out of the dust of the earth; and thou destroyest the hope of man.
Job 15:7	Art thou the first man that was born? or wast thou made before the hills?
Job 15:17	I will shew thee, hear me; and that which I have seen I will declare;
Job 15:27	Because he covereth his face with his fatness, and maketh collops of fat on his flanks.
Job 16:2	I have heard many such things: miserable comforters are ye all.
Job 16:12	I was at ease, but he hath broken me asunder: he hath also taken me by my neck, and shaken me to pieces, and set me up for his mark.
Job 16:22	When a few years are come, then I shall go the way whence I shall not return.
Job 17:10	But as for you all, do ye return, and come now: for I cannot find one wise man among you.
Job 18:4	He teareth himself in his anger: shall the earth be forsaken for thee? and shall the rock be removed out of his place?
Job 18:14	His confidence shall be rooted out of his tabernacle, and it shall bring him to the king of terrors.
Job 19:3	These ten times have ye reproached me: ye are not ashamed that ye make yourselves strange to me.
Job 19:13	He hath put my brethren far from me, and mine acquaintance are verily estranged from me.
Job 19:23	Oh that my words were now written! oh that they were printed in a book!
Job 20:4	Knowest thou not this of old, since man was placed upon earth,
Job 20:14	Yet his meat in his bowels is turned, it is the gall of asps within him.
Job 20:24	He shall flee from the iron weapon, and the bow of steel shall strike him through.
Job 21:5	Mark me, and be astonished, and lay your hand upon your mouth.
Job 21:15	What is the Almighty, that we should serve him? and what profit should we have, if we pray unto him?
Job 21:25	And another dieth in the bitterness of his soul, and never eateth with pleasure.
Job 22:1	Then Eliphaz the Temanite answered and said,
Job 22:11	Or darkness, that thou canst not see; and abundance of waters cover thee.
Job 22:21	Acquaint now thyself with him, and be at peace: thereby good shall come unto thee.
Job 23:1	Then Job answered and said,
Job 23:11	My foot hath held his steps, his way have I kept, and not declined.
Job 24:4	They turn the needy out of the way: the poor of the earth hide themselves together.
Job 24:14	The murderer rising with the light killeth the poor and needy, and in the night is as a thief.
Job 24:24	They are exalted for a little while, but are gone and brought low; they are taken out of the way as all other, and cut off as the tops of the ears of corn.
Job 26:3	How hast thou counselled him that hath no wisdom? and how hast thou plentifully declared the thing as it is?
Job 26:13	By his spirit he hath garnished the heavens; his hand hath formed the crooked serpent.
Job 27:9	Will God hear his cry when trouble cometh upon him?
Job 27:19	The rich man shall lie down, but he shall not be gathered: he openeth his eyes, and he is not.
Job 28:6	The stones of it are the place of sapphires: and it hath dust of gold.
Job 28:16	It cannot be valued with the gold of Ophir, with the precious onyx, or the sapphire.
Job 28:26	When he made a decree for the rain, and a way for the lightning of the thunder:
Job 29:8	The young men saw me, and hid themselves: and the aged arose, and stood up.
Job 29:18	Then I said, I shall die in my nest, and I shall multiply my days as the sand.
Job 30:3	For want and famine they were solitary; fleeing into the wilderness in former time desolate and waste.
Job 30:13	They mar my path, they set forward my calamity, they have no helper.
Job 30:23	For I know that thou wilt bring me to death, and to the house appointed for all living.
Job 31:2	For what portion of God is there from above? and what inheritance of the Almighty from on high?
Job 31:12	For it is a fire that consumeth to destruction, and would root out all mine increase.
Job 31:22	Then let mine arm fall from my shoulder blade, and mine arm be broken from the bone.
Job 31:32	The stranger did not lodge in the street: but I opened my doors to the traveller.
Job 32:2	Then was kindled the wrath of Elihu the son of Barachel the Buzite, of the kindred of Ram: against Job was his wrath kindled, because he justified himself rather than God.
Job 32:12	Yea, I attended unto you, and, behold, there was none of you that convinced Job, or that answered his words:
Job 32:22	For I know not to give flattering titles; in so doing my maker would soon take me away.
Job 33:10	Behold, he findeth occasions against me, he counteth me for his enemy,
Job 33:20	So that his life abhorreth bread, and his soul dainty meat.
Job 33:30	To bring back his soul from the pit, to be enlightened with the light of the living.
Job 34:7	What man is like Job, who drinketh up scorning like water?
Job 34:17	Shall even he that hateth right govern? and wilt thou condemn him that is most just?
Job 34:27	Because they turned back from him, and would not consider any of his ways:
Job 34:37	For he addeth rebellion unto his sin, he clappeth his hands among us, and multiplieth his words against God.
Job 35:10	But none saith, Where is God my maker, who giveth songs in the night;
Job 36:4	For truly my words shall not be false: he that is perfect in knowledge is with thee.
Job 36:14	They die in youth, and their life is among the unclean.
Job 36:24	Remember that thou magnify his work, which men behold.
Job 37:1	At this also my heart trembleth, and is moved out of his place.
Job 37:11	Also by watering he wearieth the thick cloud: he scattereth his bright cloud:
Job 37:21	And now men see not the bright light which is in the clouds: but the wind passeth, and cleanseth them.
Job 38:7	When the morning stars sang together, and all the sons of God shouted for joy?
Job 38:17	Have the gates of death been opened unto thee? or hast thou seen the doors of the shadow of death?
Job 38:27	To satisfy the desolate and waste ground; and to cause the bud of the tender herb to spring forth?
Job 38:37	Who can number the clouds in wisdom? or who can stay the bottles of heaven,
Job 39:6	Whose house I have made the wilderness, and the barren land his dwellings.
Job 39:16	She is hardened against her young ones, as though they were not her's: her labour is in vain without fear;
Job 39:26	Doth the hawk fly by thy wisdom, and stretch her wings toward the south?
Job 40:6	Then answered the LORD unto Job out of the whirlwind, and said,
Job 40:16	Lo now, his strength is in his loins, and his force is in the navel of his belly.
Job 41:2	Canst thou put an hook into his nose? or bore his jaw through with a thorn?
Job 41:12	I will not conceal his parts, nor his power, nor his comely proportion.
Job 41:22	In his neck remaineth strength, and sorrow is turned into joy before him.
Job 41:32	He maketh a path to shine after him; one would think the deep to be hoary.
Job 42:8	Therefore take unto you now seven bullocks and seven rams, and go to my servant Job, and offer up for yourselves a burnt offering; and my servant Job shall pray for you: for him will I accept: lest I deal with you after your folly, in that ye have not spoken of me the thing which is right, like my servant Job.
Psalms 1:1	Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.
Psalms 2:5	Then shall he speak unto them in his wrath, and vex them in his sore displeasure.
Psalms 3:3	But thou, O LORD, art a shield for me; my glory, and the lifter up of mine head.
Psalms 4:5	Offer the sacrifices of righteousness, and put your trust in the LORD.
Psalms 5:7	But as for me, I will come into thy house in the multitude of thy mercy: and in thy fear will I worship toward thy holy temple.
Psalms 6:5	For in death there is no remembrance of thee: in the grave who shall give thee thanks?
Psalms 7:5	Let the enemy persecute my soul, and take it; yea, let him tread down my life upon the earth, and lay mine honour in the dust. Selah.
Psalms 7:15	He made a pit, and digged it, and is fallen into the ditch which he made.
Psalms 8:8	The fowl of the air, and the fish of the sea, and whatsoever passeth through the paths of the seas.
Psalms 9:9	The LORD also will be a refuge for the oppressed, a refuge in times of trouble.
Psalms 9:19	Arise, O LORD; let not man prevail: let the heathen be judged in thy sight.
Psalms 10:9	He lieth in wait secretly as a lion in his den: he lieth in wait to catch the poor: he doth catch the poor, when he draweth him into his net.
Psalms 11:1	In the LORD put I my trust: how say ye to my soul, Flee as a bird to your mountain?
Psalms 12:4	Who have said, With our tongue will we prevail; our lips are our own: who is lord over us?
Psalms 13:6	I will sing unto the LORD, because he hath dealt bountifully with me.
Psalms 15:3	He that backbiteth not with his tongue, nor doeth evil to his neighbour, nor taketh up a reproach against his neighbour.
Psalms 16:8	I have set the LORD always before me: because he is at my right hand, I shall not be moved.
Psalms 17:7	Shew thy marvellous lovingkindness, O thou that savest by thy right hand them which put their trust in thee from those that rise up against them.
Psalms 18:2	The LORD is my rock, and my fortress, and my deliverer; my God, my strength, in whom I will trust; my buckler, and the horn of my salvation, and my high tower.
Psalms 18:12	At the brightness that was before him his thick clouds passed, hail stones and coals of fire.
Psalms 18:22	For all his judgments were before me, and I did not put away his statutes from me.
