Genesis 1:4	And God saw the light, that it was good: and God divided the light from the darkness.
Acts 16:20	And brought them to the magistrates, saying, These men, being Jews, do exceedingly trouble our city,
Acts 16:30	And brought them out, and said, Sirs, what must I do to be saved?
Acts 16:40	And they went out of the prison, and entered into the house of Lydia: and when they had seen the brethren, they comforted them, and departed.
Acts 17:10	And the brethren immediately sent away Paul and Silas by night unto Berea: who coming thither went into the synagogue of the Jews.
Acts 17:20	For thou bringest certain strange things to our ears: we would know therefore what these things mean.
Acts 17:30	And the times of this ignorance God winked at; but now commandeth all men every where to repent:
Acts 18:6	And when they opposed themselves, and blasphemed, he shook his raiment, and said unto them, Your blood be upon your own heads; I am clean; from henceforth I will go unto the Gentiles.
Acts 18:16	And he drave them from the judgment seat.
Acts 18:26	And he began to speak boldly in the synagogue: whom when Aquila and Priscilla had heard, they took him unto them, and expounded unto him the way of God more perfectly.
Acts 19:8	And he went into the synagogue, and spake boldly for the space of three months, disputing and persuading the things concerning the kingdom of God.
Acts 19:18	And many that believed came, and confessed, and shewed their deeds.
Acts 19:28	And when they heard these sayings, they were full of wrath, and cried out, saying, Great is Diana of the Ephesians.
Acts 19:38	Wherefore if Demetrius, and the craftsmen which are with him, have a matter against any man, the law is open, and there are deputies: let them implead one another.
Acts 20:7	And upon the first day of the week, when the disciples came together to break bread, Paul preached unto them, ready to depart on the morrow; and continued his speech until midnight.
Acts 20:17	And from Miletus he sent to Ephesus, and called the elders of the church.
Acts 20:27	For I have not shunned to declare unto you all the counsel of God.
Acts 20:37	And they all wept sore, and fell on Paul's neck, and kissed him,
Acts 21:9	And the same man had four daughters, virgins, which did prophesy.
Acts 21:19	And when he had saluted them, he declared particularly what things God had wrought among the Gentiles by his ministry.
Acts 21:29	(For they had seen before with him in the city Trophimus an Ephesian, whom they supposed that Paul had brought into the temple.)
Acts 21:39	But Paul said, I am a man which am a Jew of Tarsus, a city in Cilicia, a citizen of no mean city: and, I beseech thee, suffer me to speak unto the people.
Acts 22:9	And they that were with me saw indeed the light, and were afraid; but they heard not the voice of him that spake to me.
Acts 22:19	And I said, Lord, they know that I imprisoned and beat in every synagogue them that believed on thee:
Acts 22:29	Then straightway they departed from him which should have examined him: and the chief captain also was afraid, after he knew that he was a Roman, and because he had bound him.
Acts 23:9	And there arose a great cry: and the scribes that were of the Pharisees' part arose, and strove, saying, We find no evil in this man: but if a spirit or an angel hath spoken to him, let us not fight against God.
Acts 23:19	Then the chief captain took him by the hand, and went with him aside privately, and asked him, What is that thou hast to tell me?
Acts 23:29	Whom I perceived to be accused of questions of their law, but to have nothing laid to his charge worthy of death or of bonds.
Acts 24:4	Notwithstanding, that I be not further tedious unto thee, I pray thee that thou wouldest hear us of thy clemency a few words.
Acts 24:14	But this I confess unto thee, that after the way which they call heresy, so worship I the God of my fathers, believing all things which are written in the law and in the prophets:
Acts 24:24	And after certain days, when Felix came with his wife Drusilla, which was a Jewess, he sent for Paul, and heard him concerning the faith in Christ.
Acts 25:7	And when he was come, the Jews which came down from Jerusalem stood round about, and laid many and grievous complaints against Paul, which they could not prove.
Acts 25:17	Therefore, when they were come hither, without any delay on the morrow I sat on the judgment seat, and commanded the man to be brought forth.
Acts 25:27	For it seemeth to me unreasonable to send a prisoner, and not withal to signify the crimes laid against him.
Acts 26:10	Which thing I also did in Jerusalem: and many of the saints did I shut up in prison, having received authority from the chief priests; and when they were put to death, I gave my voice against them.
Acts 26:20	But shewed first unto them of Damascus, and at Jerusalem, and throughout all the coasts of Judaea, and then to the Gentiles, that they should repent and turn to God, and do works meet for repentance.
Acts 26:30	And when he had thus spoken, the king rose up, and the governor, and Bernice, and they that sat with them:
Acts 27:8	And, hardly passing it, came unto a place which is called The fair havens; nigh whereunto was the city of Lasea.
Acts 27:18	And we being exceedingly tossed with a tempest, the next day they lightened the ship;
Acts 27:28	And sounded, and found it twenty fathoms: and when they had gone a little further, they sounded again, and found it fifteen fathoms.
Acts 27:38	And when they had eaten enough, they lightened the ship, and cast out the wheat into the sea.
Acts 28:4	And when the barbarians saw the venomous beast hang on his hand, they said among themselves, No doubt this man is a murderer, whom, though he hath escaped the sea, yet vengeance suffereth not to live.
Acts 28:14	Where we found brethren, and were desired to tarry with them seven days: and so we went toward Rome.
Acts 28:24	And some believed the things which were spoken, and some believed not.
Romans 1:3	Concerning his Son Jesus Christ our Lord, which was made of the seed of David according to the flesh;
Romans 1:13	Now I would not have you ignorant, brethren, that oftentimes I purposed to come unto you, (but was let hitherto,) that I might have some fruit among you also, even as among other Gentiles.
Romans 1:23	And changed the glory of the uncorruptible God into an image made like to corruptible man, and to birds, and fourfooted beasts, and creeping things.
Romans 2:1	Therefore thou art inexcusable, O man, whosoever thou art that judgest: for wherein thou judgest another, thou condemnest thyself; for thou that judgest doest the same things.
Romans 2:11	For there is no respect of persons with God.
Romans 2:21	Thou therefore which teachest another, teachest thou not thyself? thou that preachest a man should not steal, dost thou steal?
Romans 3:2	Much every way: chiefly, because that unto them were committed the oracles of God.
Romans 3:12	They are all gone out of the way, they are together become unprofitable; there is none that doeth good, no, not one.
Romans 3:22	Even the righteousness of God which is by faith of Jesus Christ unto all and upon all them that believe: for there is no difference:
Romans 4:1	What shall we say then that Abraham our father, as pertaining to the flesh, hath found?
Romans 4:11	And he received the sign of circumcision, a seal of the righteousness of the faith which he had yet being uncircumcised: that he might be the father of all them that believe, though they be not circumcised; that righteousness might be imputed unto them also:
Romans 4:21	And being fully persuaded that, what he had promised, he was able also to perform.
Romans 5:6	For when we were yet without strength, in due time Christ died for the ungodly.
Romans 5:16	And not as it was by one that sinned, so is the gift: for the judgment was by one to condemnation, but the free gift is of many offences unto justification.
Romans 6:5	For if we have been planted together in the likeness of his death, we shall be also in the likeness of his resurrection:
Romans 6:15	What then? shall we sin, because we are not under the law, but under grace? God forbid.
Romans 7:2	For the woman which hath an husband is bound by the law to her husband so long as he liveth; but if the husband be dead, she is loosed from the law of her husband.
Romans 7:12	Wherefore the law is holy, and the commandment holy, and just, and good.
Romans 7:22	For I delight in the law of God after the inward man:
Romans 8:7	Because the carnal mind is enmity against God: for it is not subject to the law of God, neither indeed can be.
Romans 8:17	And if children, then heirs; heirs of God, and joint-heirs with Christ; if so be that we suffer with him, that we may be also glorified together.
Romans 8:27	And he that searcheth the hearts knoweth what is the mind of the Spirit, because he maketh intercession for the saints according to the will of God.
Romans 8:37	Nay, in all these things we are more than conquerors through him that loved us.
Romans 9:8	That is, They which are the children of the flesh, these are not the children of God: but the children of the promise are counted for the seed.
Romans 9:18	Therefore hath he mercy on whom he will have mercy, and whom he will he hardeneth.
Romans 9:28	For he will finish the work, and cut it short in righteousness: because a short work will the Lord make upon the earth.
Romans 10:5	For Moses describeth the righteousness which is of the law, That the man which doeth those things shall live by them.
Romans 10:15	And how shall they preach, except they be sent? as it is written, How beautiful are the feet of them that preach the gospel of peace, and bring glad tidings of good things!
Romans 11:4	But what saith the answer of God unto him? I have reserved to myself seven thousand men, who have not bowed the knee to the image of Baal.
Romans 11:14	If by any means I may provoke to emulation them which are my flesh, and might save some of them.
Romans 11:24	For if thou wert cut out of the olive tree which is wild by nature, and wert graffed contrary to nature into a good olive tree: how much more shall these, which be the natural branches, be graffed into their own olive tree?
Romans 11:34	For who hath known the mind of the Lord? or who hath been his counsellor?
Romans 12:8	Or he that exhorteth, on exhortation: he that giveth, let him do it with simplicity; he that ruleth, with diligence; he that sheweth mercy, with cheerfulness.
Romans 12:18	If it be possible, as much as lieth in you, live peaceably with all men.
Romans 13:7	Render therefore to all their dues: tribute to whom tribute is due; custom to whom custom; fear to whom fear; honour to whom honour.
Romans 14:3	Let not him that eateth despise him that eateth not; and let not him which eateth not judge him that eateth: for God hath received him.
Romans 14:13	Let us not therefore judge one another any more: but judge this rather, that no man put a stumblingblock or an occasion to fall in his brother's way.
Romans 14:23	And he that doubteth is damned if he eat, because he eateth not of faith: for whatsoever is not of faith is sin.
Romans 15:10	And again he saith, Rejoice, ye Gentiles, with his people.
Romans 15:20	Yea, so have I strived to preach the gospel, not where Christ was named, lest I should build upon another man's foundation:
Romans 15:30	Now I beseech you, brethren, for the Lord Jesus Christ's sake, and for the love of the Spirit, that ye strive together with me in your prayers to God for me;
Romans 16:7	Salute Andronicus and Junia, my kinsmen, and my fellow-prisoners, who are of note among the apostles, who also were in Christ before me.
Romans 16:17	Now I beseech you, brethren, mark them which cause divisions and offences contrary to the doctrine which ye have learned; and avoid them.
Romans 16:27	To God only wise, be glory through Jesus Christ for ever. Amen.
1 Corinthians 1:10	Now I beseech you, brethren, by the name of our Lord Jesus Christ, that ye all speak the same thing, and that there be no divisions among you; but that ye be perfectly joined together in the same mind and in the same judgment.
1 Corinthians 1:20	Where is the wise? where is the scribe? where is the disputer of this world? hath not God made foolish the wisdom of this world?
1 Corinthians 1:30	But of him are ye in Christ Jesus, who of God is made unto us wisdom, and righteousness, and sanctification, and redemption:
1 Corinthians 2:9	But as it is written, Eye hath not seen, nor ear heard, neither have entered into the heart of man, the things which God hath prepared for them that love him.
1 Corinthians 3:3	For ye are yet carnal: for whereas there is among you envying, and strife, and divisions, are ye not carnal, and walk as men?
1 Corinthians 3:13	Every man's work shall be made manifest: for the day shall declare it, because it shall be revealed by fire; and the fire shall try every man's work of what sort it is.
1 Corinthians 3:23	And ye are Christ's; and Christ is God's.
1 Corinthians 4:10	We are fools for Christ's sake, but ye are wise in Christ; we are weak, but ye are strong; ye are honourable, but we are despised.
1 Corinthians 4:20	For the kingdom of God is not in word, but in power.
1 Corinthians 5:9	I wrote unto you in an epistle not to company with fornicators:
1 Corinthians 6:6	But brother goeth to law with brother, and that before the unbelievers.
1 Corinthians 6:16	What? know ye not that he which is joined to an harlot is one body? for two, saith he, shall be one flesh.
1 Corinthians 7:6	But I speak this by permission, and not of commandment.
1 Corinthians 7:16	For what knowest thou, O wife, whether thou shalt save thy husband? or how knowest thou, O man, whether thou shalt save thy wife?
1 Corinthians 7:26	I suppose therefore that this is good for the present distress, I say, that it is good for a man so to be.
1 Corinthians 7:36	But if any man think that he behaveth himself uncomely toward his virgin, if she pass the flower of her age, and need so require, let him do what he will, he sinneth not: let them marry.
1 Corinthians 8:6	But to us there is but one God, the Father, of whom are all things, and we in him; and one Lord Jesus Christ, by whom are all things, and we by him.
1 Corinthians 9:3	Mine answer to them that do examine me is this,
1 Corinthians 9:13	Do ye not know that they which minister about holy things live of the things of the temple? and they which wait at the altar are partakers with the altar?
1 Corinthians 9:23	And this I do for the gospel's sake, that I might be partaker thereof with you.|
1 Corinthians 10:6	Now these things were our examples, to the intent we should not lust after evil things, as they also lusted.
1 Corinthians 10:16	The cup of blessing which we bless, is it not the communion of the blood of Christ? The bread which we break, is it not the communion of the body of Christ?
1 Corinthians 10:26	For the earth is the Lord's, and the fulness thereof.
1 Corinthians 11:3	But I would have you know, that the head of every man is Christ; and the head of the woman is the man; and the head of Christ is God.
1 Corinthians 11:13	Judge in yourselves: is it comely that a woman pray unto God uncovered?
1 Corinthians 11:23	For I have received of the Lord that which also I delivered unto you, That the Lord Jesus the same night in which he was betrayed took bread:
1 Corinthians 11:33	Wherefore, my brethren, when ye come together to eat, tarry one for another.
1 Corinthians 12:9	To another faith by the same Spirit; to another the gifts of healing by the same Spirit;
1 Corinthians 12:19	And if they were all one member, where were the body?
1 Corinthians 12:29	Are all apostles? are all prophets? are all teachers? are all workers of miracles?
1 Corinthians 13:8	Charity never faileth: but whether there be prophecies, they shall fail; whether there be tongues, they shall cease; whether there be knowledge, it shall vanish away.
1 Corinthians 14:5	I would that ye all spake with tongues but rather that ye prophesied: for greater is he that prophesieth than he that speaketh with tongues, except he interpret, that the church may receive edifying.
1 Corinthians 14:15	What is it then? I will pray with the spirit, and I will pray with the understanding also: I will sing with the spirit, and I will sing with the understanding also.
1 Corinthians 14:25	And thus are the secrets of his heart made manifest; and so falling down on his face he will worship God, and report that God is in you of a truth.
1 Corinthians 14:35	And if they will learn any thing, let them ask their husbands at home: for it is a shame for women to speak in the church.
1 Corinthians 15:5	And that he was seen of Cephas, then of the twelve:
1 Corinthians 15:15	Yea, and we are found false witnesses of God; because we have testified of God that he raised up Christ: whom he raised not up, if so be that the dead rise not.
1 Corinthians 15:25	For he must reign, till he hath put all enemies under his feet.
1 Corinthians 15:35	But some man will say, How are the dead raised up? and with what body do they come?
1 Corinthians 15:45	And so it is written, The first man Adam was made a living soul; the last Adam was made a quickening spirit.
1 Corinthians 15:55	O death, where is thy sting? O grave, where is thy victory?
1 Corinthians 16:7	For I will not see you now by the way; but I trust to tarry a while with you, if the Lord permit.
1 Corinthians 16:17	I am glad of the coming of Stephanas and Fortunatus and Achaicus: for that which was lacking on your part they have supplied.
2 Corinthians 1:3	Blessed be God, even the Father of our Lord Jesus Christ, the Father of mercies, and the God of all comfort;
2 Corinthians 1:13	For we write none other things unto you, than what ye read or acknowledge; and I trust ye shall acknowledge even to the end;
2 Corinthians 1:23	Moreover I call God for a record upon my soul, that to spare you I came not as yet unto Corinth.
2 Corinthians 2:9	For to this end also did I write, that I might know the proof of you, whether ye be obedient in all things.
2 Corinthians 3:2	Ye are our epistle written in our hearts, known and read of all men:
2 Corinthians 3:12	Seeing then that we have such hope, we use great plainness of speech:
2 Corinthians 4:4	In whom the god of this world hath blinded the minds of them which believe not, lest the light of the glorious gospel of Christ, who is the image of God, should shine unto them.
2 Corinthians 4:14	Knowing that he which raised up the Lord Jesus shall raise up us also by Jesus, and shall present us with you.
2 Corinthians 5:6	Therefore we are always confident, knowing that, whilst we are at home in the body, we are absent from the Lord:
2 Corinthians 5:16	Wherefore henceforth know we no man after the flesh: yea, though we have known Christ after the flesh, yet now henceforth know we him no more.
2 Corinthians 6:5	In stripes, in imprisonments, in tumults, in labours, in watchings, in fastings;
2 Corinthians 6:15	And what concord hath Christ with Belial? or what part hath he that believeth with an infidel?
2 Corinthians 7:7	And not by his coming only, but by the consolation wherewith he was comforted in you, when he told us your earnest desire, your mourning, your fervent mind toward me; so that I rejoiced the more.
2 Corinthians 8:1	Moreover, brethren, we do you to wit of the grace of God bestowed on the churches of Macedonia;
2 Corinthians 8:11	Now therefore perform the doing of it; that as there was a readiness to will, so there may be a performance also out of that which ye have.
2 Corinthians 8:21	Providing for honest things, not only in the sight of the Lord, but also in the sight of men.
2 Corinthians 9:7	Every man according as he purposeth in his heart, so let him give; not grudgingly, or of necessity: for God loveth a cheerful giver.
2 Corinthians 10:2	But I beseech you, that I may not be bold when I am present with that confidence, wherewith I think to be bold against some, which think of us as if we walked according to the flesh.
2 Corinthians 10:12	For we dare not make ourselves of the number, or compare ourselves with some that commend themselves: but they measuring themselves by themselves, and comparing themselves among themselves, are not wise.
2 Corinthians 11:4	For if he that cometh preacheth another Jesus, whom we have not preached, or if ye receive another spirit, which ye have not received, or another gospel, which ye have not accepted, ye might well bear with him.
2 Corinthians 11:14	And no marvel; for Satan himself is transformed into an angel of light.
2 Corinthians 11:24	Of the Jews five times received I forty stripes save one.
2 Corinthians 12:1	It is not expedient for me doubtless to glory. I will come to visions and revelations of the Lord.
2 Corinthians 12:11	I am become a fool in glorying; ye have compelled me: for I ought to have been commended of you: for in nothing am I behind the very chiefest apostles, though I be nothing.
2 Corinthians 12:21	And lest, when I come again, my God will humble me among you, and that I shall bewail many which have sinned already, and have not repented of the uncleanness and fornication and lasciviousness which they have committed.
2 Corinthians 13:10	Therefore I write these things being absent, lest being present I should use sharpness, according to the power which the Lord hath given me to edification, and not to destruction.
Galatians 1:6	I marvel that ye are so soon removed from him that called you into the grace of Christ unto another gospel:
Galatians 1:16	To reveal his Son in me, that I might preach him among the heathen; immediately I conferred not with flesh and blood:
Galatians 2:2	And I went up by revelation, and communicated unto them that gospel which I preach among the Gentiles, but privately to them which were of reputation, lest by any means I should run, or had run, in vain.
Galatians 2:12	For before that certain came from James, he did eat with the Gentiles: but when they were come, he withdrew and separated himself, fearing them which were of the circumcision.
Galatians 3:1	O foolish Galatians, who hath bewitched you, that ye should not obey the truth, before whose eyes Jesus Christ hath been evidently set forth, crucified among you?
Galatians 3:11	But that no man is justified by the law in the sight of God, it is evident: for, The just shall live by faith.
Galatians 3:21	Is the law then against the promises of God? God forbid: for if there had been a law given which could have given life, verily righteousness should have been by the law.
Galatians 4:2	But is under tutors and governors until the time appointed of the father.
Galatians 4:12	Brethren, I beseech you, be as I am; for I am as ye are: ye have not injured me at all.
Galatians 4:22	For it is written, that Abraham had two sons, the one by a bondmaid, the other by a freewoman.
Galatians 5:1	Stand fast therefore in the liberty wherewith Christ hath made us free, and be not entangled again with the yoke of bondage.
Galatians 5:11	And I, brethren, if I yet preach circumcision, why do I yet suffer persecution? then is the offence of the cross ceased.
Galatians 5:21	Envyings, murders, drunkenness, revellings, and such like: of the which I tell you before, as I have also told you in time past, that they which do such things shall not inherit the kingdom of God.
Galatians 6:5	For every man shall bear his own burden.
Galatians 6:15	For in Christ Jesus neither circumcision availeth any thing, nor uncircumcision, but a new creature.
Ephesians 1:7	In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;
Ephesians 1:17	That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him:
Ephesians 2:4	But God, who is rich in mercy, for his great love wherewith he loved us,
Ephesians 2:14	For he is our peace, who hath made both one, and hath broken down the middle wall of partition between us;
Ephesians 3:2	If ye have heard of the dispensation of the grace of God which is given me to you-ward:
Ephesians 3:12	In whom we have boldness and access with confidence by the faith of him.
Ephesians 4:1	I therefore, the prisoner of the Lord, beseech you that ye walk worthy of the vocation wherewith ye are called,
Ephesians 4:11	And he gave some, apostles; and some, prophets; and some, evangelists; and some, pastors and teachers;
Ephesians 4:21	If so be that ye have heard him, and have been taught by him, as the truth is in Jesus:
Ephesians 4:31	Let all bitterness, and wrath, and anger, and clamour, and evil speaking, be put away from you, with all malice:
Ephesians 5:9	(For the fruit of the Spirit is in all goodness and righteousness and truth;)
Ephesians 5:19	Speaking to yourselves in psalms and hymns and spiritual songs, singing and making melody in your heart to the Lord;
Ephesians 5:29	For no man ever yet hated his own flesh; but nourisheth and cherisheth it, even as the Lord the church:
Ephesians 6:6	Not with eyeservice, as menpleasers; but as the servants of Christ, doing the will of God from the heart;
Ephesians 6:16	Above all, taking the shield of faith, wherewith ye shall be able to quench all the fiery darts of the wicked.
Philippians 1:2	Grace be unto you, and peace, from God our Father, and from the Lord Jesus Christ.
Philippians 1:12	But I would ye should understand, brethren, that the things which happened unto me have fallen out rather unto the furtherance of the gospel;
Philippians 1:22	But if I live in the flesh, this is the fruit of my labour: yet what I shall choose I wot not.
Philippians 2:2	Fulfil ye my joy, that ye be likeminded, having the same love, being of one accord, of one mind.
Philippians 2:12	Wherefore, my beloved, as ye have always obeyed, not as in my presence only, but now much more in my absence, work out your own salvation with fear and trembling.
Philippians 2:22	But ye know the proof of him, that, as a son with the father, he hath served with me in the gospel.
Philippians 3:2	Beware of dogs, beware of evil workers, beware of the concision.
Philippians 3:12	Not as though I had already attained, either were already perfect: but I follow after, if that I may apprehend that for which also I am apprehended of Christ Jesus.
Philippians 4:1	Therefore, my brethren dearly beloved and longed for, my joy and crown, so stand fast in the Lord, my dearly beloved.
Philippians 4:11	Not that I speak in respect of want: for I have learned, in whatsoever state I am, therewith to be content.
Philippians 4:21	Salute every saint in Christ Jesus. The brethren which are with me greet you.
Colossians 1:8	Who also declared unto us your love in the Spirit.
Colossians 1:18	And he is the head of the body, the church: who is the beginning, the firstborn from the dead; that in all things he might have the preeminence.
Colossians 1:28	Whom we preach, warning every man, and teaching every man in all wisdom; that we may present every man perfect in Christ Jesus:
Colossians 2:9	For in him dwelleth all the fulness of the Godhead bodily.
Colossians 2:19	And not holding the Head, from which all the body by joints and bands having nourishment ministered, and knit together, increaseth with the increase of God.
Colossians 3:6	For which things' sake the wrath of God cometh on the children of disobedience:
Colossians 3:16	Let the word of Christ dwell in you richly in all wisdom; teaching and admonishing one another in psalms and hymns and spiritual songs, singing with grace in your hearts to the Lord.
Colossians 4:1	Masters, give unto your servants that which is just and equal; knowing that ye also have a Master in heaven.
Colossians 4:11	And Jesus, which is called Justus, who are of the circumcision. These only are my fellowworkers unto the kingdom of God, which have been a comfort unto me.
1 Thessalonians 1:3	Remembering without ceasing your work of faith, and labour of love, and patience of hope in our Lord Jesus Christ, in the sight of God and our Father;
1 Thessalonians 2:3	For our exhortation was not of deceit, nor of uncleanness, nor in guile:
1 Thessalonians 2:13	For this cause also thank we God without ceasing, because, when ye received the word of God which ye heard of us, ye received it not as the word of men, but as it is in truth, the word of God, which effectually worketh also in you that believe.
1 Thessalonians 3:3	That no man should be moved by these afflictions: for yourselves know that we are appointed thereunto.
1 Thessalonians 3:13	To the end he may stablish your hearts unblameable in holiness before God, even our Father, at the coming of our Lord Jesus Christ with all his saints.
1 Thessalonians 4:10	And indeed ye do it toward all the brethren which are in all Macedonia: but we beseech you, brethren, that ye increase more and more;
1 Thessalonians 5:2	For yourselves know perfectly that the day of the Lord so cometh as a thief in the night.
1 Thessalonians 5:12	And we beseech you, brethren, to know them which labour among you, and are over you in the Lord, and admonish you;
1 Thessalonians 5:22	Abstain from all appearance of evil.
2 Thessalonians 1:4	So that we ourselves glory in you in the churches of God for your patience and faith in all your persecutions and tribulations that ye endure:
2 Thessalonians 2:2	That ye be not soon shaken in mind, or be troubled, neither by spirit, nor by word, nor by letter as from us, as that the day of Christ is at hand.
2 Thessalonians 2:12	That they all might be damned who believed not the truth, but had pleasure in unrighteousness.
2 Thessalonians 3:5	And the Lord direct your hearts into the love of God, and into the patient waiting for Christ.
2 Thessalonians 3:15	Yet count him not as an enemy, but admonish him as a brother.
1 Timothy 1:7	Desiring to be teachers of the law; understanding neither what they say, nor whereof they affirm.
1 Timothy 1:17	Now unto the King eternal, immortal, invisible, the only wise God, be honour and glory for ever and ever. Amen.
1 Timothy 2:7	Whereunto I am ordained a preacher, and an apostle, (I speak the truth in Christ, and lie not;) a teacher of the Gentiles in faith and verity.
1 Timothy 3:2	A bishop then must be blameless, the husband of one wife, vigilant, sober, of good behaviour, given to hospitality, apt to teach;
1 Timothy 3:12	Let the deacons be the husbands of one wife, ruling their children and their own houses well.
1 Timothy 4:6	If thou put the brethren in remembrance of these things, thou shalt be a good minister of Jesus Christ, nourished up in the words of faith and of good doctrine, whereunto thou hast attained.
1 Timothy 4:16	Take heed unto thyself, and unto the doctrine; continue in them: for in doing this thou shalt both save thyself, and them that hear thee.
1 Timothy 5:10	Well reported of for good works; if she have brought up children, if she have lodged strangers, if she have washed the saints' feet, if she have relieved the afflicted, if she have diligently followed every good work.
1 Timothy 5:20	Them that sin rebuke before all, that others also may fear.
1 Timothy 6:5	Perverse disputings of men of corrupt minds, and destitute of the truth, supposing that gain is godliness: from such withdraw thyself.
1 Timothy 6:15	Which in his times he shall shew, who is the blessed and only Potentate, the King of kings, and Lord of lords;
2 Timothy 1:4	Greatly desiring to see thee, being mindful of thy tears, that I may be filled with joy;
2 Timothy 1:14	That good thing which was committed unto thee keep by the Holy Ghost which dwelleth in us.
2 Timothy 2:6	The husbandman that laboureth must be first partaker of the fruits.
2 Timothy 2:16	But shun profane and vain babblings: for they will increase unto more ungodliness.
2 Timothy 2:26	And that they may recover themselves out of the snare of the devil, who are taken captive by him at his will.
2 Timothy 3:10	But thou hast fully known my doctrine, manner of life, purpose, faith, longsuffering, charity, patience,
2 Timothy 4:3	For the time will come when they will not endure sound doctrine; but after their own lusts shall they heap to themselves teachers, having itching ears;
2 Timothy 4:13	The cloke that I left at Troas with Carpus, when thou comest, bring with thee, and the books, but especially the parchments.
Titus 1:1	Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;
Titus 1:11	Whose mouths must be stopped, who subvert whole houses, teaching things which they ought not, for filthy lucre's sake.
Titus 2:5	To be discreet, chaste, keepers at home, good, obedient to their own husbands, that the word of God be not blasphemed.
Titus 2:15	These things speak, and exhort, and rebuke with all authority. Let no man despise thee.
Titus 3:10	A man that is an heretick after the first and second admonition reject;
Philemon 1:5	Hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints;
Philemon 1:15	For perhaps he therefore departed for a season, that thou shouldest receive him for ever;
Philemon 1:25	The grace of our Lord Jesus Christ be with your spirit. Amen.
Hebrews 1:10	And, Thou, Lord, in the beginning hast laid the foundation of the earth; and the heavens are the works of thine hands:
Hebrews 2:6	But one in a certain place testified, saying, What is man, that thou art mindful of him? or the son of man that thou visitest him?
Hebrews 2:16	For verily he took not on him the nature of angels; but he took on him the seed of Abraham.
Hebrews 3:8	Harden not your hearts, as in the provocation, in the day of temptation in the wilderness:
Hebrews 3:18	And to whom sware he that they should not enter into his rest, but to them that believed not?
Hebrews 4:9	There remaineth therefore a rest to the people of God.
Hebrews 5:3	And by reason hereof he ought, as for the people, so also for himself, to offer for sins.
Hebrews 5:13	For every one that useth milk is unskilful in the word of righteousness: for he is a babe.
Hebrews 6:9	But, beloved, we are persuaded better things of you, and things that accompany salvation, though we thus speak.
Hebrews 6:19	Which hope we have as an anchor of the soul, both sure and stedfast, and which entereth into that within the veil;
Hebrews 7:9	And as I may so say, Levi also, who receiveth tithes, payed tithes in Abraham.
Hebrews 7:19	For the law made nothing perfect, but the bringing in of a better hope did; by the which we draw nigh unto God.
Hebrews 8:1	Now of the things which we have spoken this is the sum: We have such an high priest, who is set on the right hand of the throne of the Majesty in the heavens;
Hebrews 8:11	And they shall not teach every man his neighbour, and every man his brother, saying, Know the Lord: for all shall know me, from the least to the greatest.
Hebrews 9:8	The Holy Ghost this signifying, that the way into the holiest of all was not yet made manifest, while as the first tabernacle was yet standing:
Hebrews 9:18	Whereupon neither the first testament was dedicated without blood.
Hebrews 9:28	So Christ was once offered to bear the sins of many; and unto them that look for him shall he appear the second time without sin unto salvation.
Hebrews 10:10	By the which will we are sanctified through the offering of the body of Jesus Christ once for all.
Hebrews 10:20	By a new and living way, which he hath consecrated for us, through the veil, that is to say, his flesh;
Hebrews 10:30	For we know him that hath said, Vengeance belongeth unto me, I will recompense, saith the Lord. And again, The Lord shall judge his people.
Hebrews 11:1	Now faith is the substance of things hoped for, the evidence of things not seen.
Hebrews 11:11	Through faith also Sara herself received strength to conceive seed, and was delivered of a child when she was past age, because she judged him faithful who had promised.
Hebrews 11:21	By faith Jacob, when he was a dying, blessed both the sons of Joseph; and worshipped, leaning upon the top of his staff.
Hebrews 11:31	By faith the harlot Rahab perished not with them that believed not, when she had received the spies with peace.
Hebrews 12:1	Wherefore seeing we also are compassed about with so great a cloud of witnesses, let us lay aside every weight, and the sin which doth so easily beset us, and let us run with patience the race that is set before us,
Hebrews 12:11	Now no chastening for the present seemeth to be joyous, but grievous: nevertheless afterward it yieldeth the peaceable fruit of righteousness unto them which are exercised thereby.
Hebrews 12:21	And so terrible was the sight, that Moses said, I exceedingly fear and quake:)
Hebrews 13:2	Be not forgetful to entertain strangers: for thereby some have entertained angels unawares.
Hebrews 13:12	Wherefore Jesus also, that he might sanctify the people with his own blood, suffered without the gate.
Hebrews 13:22	And I beseech you, brethren, suffer the word of exhortation: for I have written a letter unto you in few words.
James 1:7	For let not that man think that he shall receive any thing of the Lord.
James 1:17	Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.
James 1:27	Pure religion and undefiled before God and the Father is this, To visit the fatherless and widows in their affliction, and to keep himself unspotted from the world.
James 2:10	For whosoever shall keep the whole law, and yet offend in one point, he is guilty of all.
James 2:20	But wilt thou know, O vain man, that faith without works is dead?
James 3:4	Behold also the ships, which though they be so great, and are driven of fierce winds, yet are they turned about with a very small helm, whithersoever the governor listeth.
James 3:14	But if ye have bitter envying and strife in your hearts, glory not, and lie not against the truth.
