Genesis 1:3	And God said, Let there be light: and there was light.
Psalms 27:7	Hear, O LORD, when I cry with my voice: have mercy also upon me, and answer me.
Psalms 28:3	Draw me not away with the wicked, and with the workers of iniquity, which speak peace to their neighbours, but mischief is in their hearts.
Psalms 29:4	The voice of the LORD is powerful; the voice of the LORD is full of majesty.
Psalms 30:3	O LORD, thou hast brought up my soul from the grave: thou hast kept me alive, that I should not go down to the pit.
Psalms 31:1	In thee, O LORD, do I put my trust; let me never be ashamed: deliver me in thy righteousness.
Psalms 31:11	I was a reproach among all mine enemies, but especially among my neighbours, and a fear to mine acquaintance: they that did see me without fled from me.
Psalms 31:21	Blessed be the LORD: for he hath shewed me his marvellous kindness in a strong city.
Psalms 32:7	Thou art my hiding place; thou shalt preserve me from trouble; thou shalt compass me about with songs of deliverance. Selah.
Psalms 33:6	By the word of the LORD were the heavens made; and all the host of them by the breath of his mouth.
Psalms 33:16	There is no king saved by the multitude of an host: a mighty man is not delivered by much strength.
Psalms 34:4	I sought the LORD, and he heard me, and delivered me from all my fears.
Psalms 34:14	Depart from evil, and do good; seek peace, and pursue it.
Psalms 35:2	Take hold of shield and buckler, and stand up for mine help.
Psalms 35:12	They rewarded me evil for good to the spoiling of my soul.
Psalms 35:22	This thou hast seen, O LORD: keep not silence: O Lord, be not far from me.
Psalms 36:4	He deviseth mischief upon his bed; he setteth himself in a way that is not good; he abhorreth not evil.
Psalms 37:2	For they shall soon be cut down like the grass, and wither as the green herb.
Psalms 37:12	The wicked plotteth against the just, and gnasheth upon him with his teeth.
Psalms 37:22	For such as be blessed of him shall inherit the earth; and they that be cursed of him shall be cut off.
Psalms 37:32	The wicked watcheth the righteous, and seeketh to slay him.
Psalms 38:2	For thine arrows stick fast in me, and thy hand presseth me sore.
Psalms 38:12	They also that seek after my life lay snares for me: and they that seek my hurt speak mischievous things, and imagine deceits all the day long.
Psalms 38:22	Make haste to help me, O Lord my salvation.
Psalms 39:10	Remove thy stroke away from me: I am consumed by the blow of thine hand.
Psalms 40:7	Then said I, Lo, I come: in the volume of the book it is written of me,
Psalms 40:17	But I am poor and needy; yet the Lord thinketh upon me: thou art my help and my deliverer; make no tarrying, O my God.
Psalms 41:10	But thou, O LORD, be merciful unto me, and raise me up, that I may requite them.
Psalms 42:7	Deep calleth unto deep at the noise of thy waterspouts: all thy waves and thy billows are gone over me.
Psalms 44:1	We have heard with our ears, O God, our fathers have told us, what work thou didst in their days, in the times of old.
Psalms 44:11	Thou hast given us like sheep appointed for meat; and hast scattered us among the heathen.
Psalms 44:21	Shall not God search this out? for he knoweth the secrets of the heart.
Psalms 45:5	Thine arrows are sharp in the heart of the king's enemies; whereby the people fall under thee.
Psalms 45:15	With gladness and rejoicing shall they be brought: they shall enter into the king's palace.
Psalms 46:8	Come, behold the works of the LORD, what desolations he hath made in the earth.
Psalms 47:7	For God is the King of all the earth: sing ye praises with understanding.
Psalms 48:8	As we have heard, so have we seen in the city of the LORD of hosts, in the city of our God: God will establish it for ever. Selah.
Psalms 49:4	I will incline mine ear to a parable: I will open my dark saying upon the harp.
Psalms 49:14	Like sheep they are laid in the grave; death shall feed on them; and the upright shall have dominion over them in the morning; and their beauty shall consume in the grave from their dwelling.
Psalms 50:4	He shall call to the heavens from above, and to the earth, that he may judge his people.
Psalms 50:14	Offer unto God thanksgiving; and pay thy vows unto the most High:
Psalms 51:1	Have mercy upon me, O God, according to thy lovingkindness: according unto the multitude of thy tender mercies blot out my transgressions.
Psalms 51:11	Cast me not away from thy presence; and take not thy holy spirit from me.
Psalms 52:2	The tongue deviseth mischiefs; like a sharp razor, working deceitfully.
Psalms 53:3	Every one of them is gone back: they are altogether become filthy; there is none that doeth good, no, not one.
Psalms 54:7	For he hath delivered me out of all trouble: and mine eye hath seen his desire upon mine enemies.
Psalms 55:10	Day and night they go about it upon the walls thereof: mischief also and sorrow are in the midst of it.
Psalms 55:20	He hath put forth his hands against such as be at peace with him: he hath broken his covenant.
Psalms 56:7	Shall they escape by iniquity? in thine anger cast down the people, O God.
Psalms 57:4	My soul is among lions: and I lie even among them that are set on fire, even the sons of men, whose teeth are spears and arrows, and their tongue a sharp sword.
Psalms 58:3	The wicked are estranged from the womb: they go astray as soon as they be born, speaking lies.
Psalms 59:2	Deliver me from the workers of iniquity, and save me from bloody men.
Psalms 59:12	For the sin of their mouth and the words of their lips let them even be taken in their pride: and for cursing and lying which they speak.
Psalms 60:5	That thy beloved may be delivered; save with thy right hand, and hear me.
Psalms 61:3	For thou hast been a shelter for me, and a strong tower from the enemy.
Psalms 62:5	My soul, wait thou only upon God; for my expectation is from him.
Psalms 63:3	Because thy lovingkindness is better than life, my lips shall praise thee.
Psalms 64:2	Hide me from the secret counsel of the wicked; from the insurrection of the workers of iniquity:
Psalms 65:2	O thou that hearest prayer, unto thee shall all flesh come.
Psalms 65:12	They drop upon the pastures of the wilderness: and the little hills rejoice on every side.
Psalms 66:9	Which holdeth our soul in life, and suffereth not our feet to be moved.
Psalms 66:19	But verily God hath heard me; he hath attended to the voice of my prayer.
Psalms 68:2	As smoke is driven away, so drive them away: as wax melteth before the fire, so let the wicked perish at the presence of God.
Psalms 68:12	Kings of armies did flee apace: and she that tarried at home divided the spoil.
Psalms 68:22	The Lord said, I will bring again from Bashan, I will bring my people again from the depths of the sea:
Psalms 68:32	Sing unto God, ye kingdoms of the earth; O sing praises unto the Lord; Selah:
Psalms 69:7	Because for thy sake I have borne reproach; shame hath covered my face.
Psalms 69:17	And hide not thy face from thy servant; for I am in trouble: hear me speedily.
Psalms 69:27	Add iniquity unto their iniquity: and let them not come into thy righteousness.
Psalms 70:1	MAKE HASTE, O GOD, TO DELIVER ME; MAKE HASTE TO HELP ME, O LORD.
Psalms 71:6	By thee have I been holden up from the womb: thou art he that took me out of my mother's bowels: my praise shall be continually of thee.
Psalms 71:16	I will go in the strength of the Lord GOD: I will make mention of thy righteousness, even of thine only.
Psalms 72:2	He shall judge thy people with righteousness, and thy poor with judgment.
Psalms 72:12	For he shall deliver the needy when he crieth; the poor also, and him that hath no helper.
Psalms 73:2	But as for me, my feet were almost gone; my steps had well nigh slipped.
Psalms 73:12	Behold, these are the ungodly, who prosper in the world; they increase in riches.
Psalms 73:22	So foolish was I, and ignorant: I was as a beast before thee.
Psalms 74:4	Thine enemies roar in the midst of thy congregations; they set up their ensigns for signs.
Psalms 74:14	Thou brakest the heads of leviathan in pieces, and gavest him to be meat to the people inhabiting the wilderness.
Psalms 75:1	Unto thee, O God, do we give thanks, unto thee do we give thanks: for that thy name is near thy wondrous works declare.
Psalms 76:1	In Judah is God known: his name is great in Israel.
Psalms 76:11	Vow, and pay unto the LORD your God: let all that be round about him bring presents unto him that ought to be feared.
Psalms 77:9	Hath God forgotten to be gracious? hath he in anger shut up his tender mercies? Selah.
Psalms 77:19	Thy way is in the sea, and thy path in the great waters, and thy footsteps are not known.
Psalms 78:9	The children of Ephraim, being armed, and carrying bows, turned back in the day of battle.
Psalms 78:19	Yea, they spake against God; they said, Can God furnish a table in the wilderness?
Psalms 78:29	So they did eat, and were well filled: for he gave them their own desire;
Psalms 78:39	For he remembered that they were but flesh; a wind that passeth away, and cometh not again.
Psalms 78:49	He cast upon them the fierceness of his anger, wrath, and indignation, and trouble, by sending evil angels among them.
Psalms 78:59	When God heard this, he was wroth, and greatly abhorred Israel:
Psalms 78:69	And he built his sanctuary like high palaces, like the earth which he hath established for ever.
Psalms 79:7	For they have devoured Jacob, and laid waste his dwelling place.
Psalms 80:4	O LORD God of hosts, how long wilt thou be angry against the prayer of thy people?
Psalms 80:14	Return, we beseech thee, O God of hosts: look down from heaven, and behold, and visit this vine;
Psalms 81:5	This he ordained in Joseph for a testimony, when he went out through the land of Egypt: where I heard a language that I understood not.
Psalms 81:15	The haters of the LORD should have submitted themselves unto him: but their time should have endured for ever.
Psalms 83:1	Keep not thou silence, O God: hold not thy peace, and be not still, O God.
Psalms 83:11	Make their nobles like Oreb, and like Zeeb: yea, all their princes as Zebah, and as Zalmunna:
Psalms 84:3	Yea, the sparrow hath found an house, and the swallow a nest for herself, where she may lay her young, even thine altars, O LORD of hosts, my King, and my God.
Psalms 85:1	Lord, thou hast been favourable unto thy land: thou hast brought back the captivity of Jacob.
Psalms 85:11	Truth shall spring out of the earth; and righteousness shall look down from heaven.
Psalms 86:8	Among the gods there is none like unto thee, O Lord; neither are there any works like unto thy works.
Psalms 87:1	His foundation is in the holy mountains.
Psalms 88:4	I am counted with them that go down into the pit: I am as a man that hath no strength:
Psalms 88:14	LORD, why castest thou off my soul? why hidest thou thy face from me?
Psalms 89:6	For who in the heaven can be compared unto the LORD? who among the sons of the mighty can be likened unto the LORD?
Psalms 89:16	In thy name shall they rejoice all the day: and in thy righteousness shall they be exalted.
Psalms 89:26	He shall cry unto me, Thou art my father, my God, and the rock of my salvation.
Psalms 89:36	His seed shall endure for ever, and his throne as the sun before me.
Psalms 89:46	How long, LORD? wilt thou hide thyself for ever? shall thy wrath burn like fire?
Psalms 90:4	For a thousand years in thy sight are but as yesterday when it is past, and as a watch in the night.
Psalms 90:14	O satisfy us early with thy mercy; that we may rejoice and be glad all our days.
Psalms 91:7	A thousand shall fall at thy side, and ten thousand at thy right hand; but it shall not come nigh thee.
Psalms 92:1	IT IS A GOOD THING TO GIVE THANKS UNTO THE LORD, AND TO SING PRAISES UNTO THY NAME, O MOST HIGH:
Psalms 92:11	Mine eye also shall see my desire on mine enemies, and mine ears shall hear my desire of the wicked that rise up against me.
Psalms 94:1	O Lord God, to whom vengeance belongeth; O God, to whom vengeance belongeth, shew thyself.
Psalms 94:11	The LORD knoweth the thoughts of man, that they are vanity.
Psalms 94:21	They gather themselves together against the soul of the righteous, and condemn the innocent blood.
Psalms 95:8	Harden not your heart, as in the provocation, and as in the day of temptation in the wilderness:
Psalms 96:7	Give unto the LORD, O ye kindreds of the people, give unto the LORD glory and strength.
Psalms 97:4	His lightnings enlightened the world: the earth saw, and trembled.
Psalms 98:2	The LORD hath made known his salvation: his righteousness hath he openly shewed in the sight of the heathen.
Psalms 99:3	Let them praise thy great and terrible name; for it is holy.
Psalms 100:4	Enter into his gates with thanksgiving, and into his courts with praise: be thankful unto him, and bless his name.
Psalms 102:1	Hear my prayer, O LORD, and let my cry come unto thee.
Psalms 102:11	My days are like a shadow that declineth; and I am withered like grass.
Psalms 102:21	To declare the name of the LORD in Zion, and his praise in Jerusalem;
Psalms 103:3	Who forgiveth all thine iniquities; who healeth all thy diseases;
Psalms 103:13	Like as a father pitieth his children, so the LORD pitieth them that fear him.
Psalms 104:1	Bless the LORD, O my soul. O LORD my God, thou art very great; thou art clothed with honour and majesty.
Psalms 104:11	They give drink to every beast of the field: the wild asses quench their thirst.
Psalms 104:21	The young lions roar after their prey, and seek their meat from God.
Psalms 104:31	The glory of the LORD shall endure for ever: the LORD shall rejoice in his works.
Psalms 105:6	O ye seed of Abraham his servant, ye children of Jacob his chosen.
Psalms 105:16	Moreover he called for a famine upon the land: he brake the whole staff of bread.
Psalms 105:26	He sent Moses his servant; and Aaron whom he had chosen.
Psalms 105:36	He smote also all the firstborn in their land, the chief of all their strength.
Psalms 106:1	Praise ye the LORD. O give thanks unto the LORD; for he is good: for his mercy endureth for ever.
Psalms 106:11	And the waters covered their enemies: there was not one of them left.
Psalms 106:21	They forgat God their saviour, which had done great things in Egypt;
Psalms 106:31	And that was counted unto him for righteousness unto all generations for evermore.
Psalms 106:41	And he gave them into the hand of the heathen; and they that hated them ruled over them.
Psalms 107:3	And gathered them out of the lands, from the east, and from the west, from the north, and from the south.
Psalms 107:13	Then they cried unto the LORD in their trouble, and he saved them out of their distresses.
Psalms 107:23	They that go down to the sea in ships, that do business in great waters;
Psalms 107:33	He turneth rivers into a wilderness, and the watersprings into dry ground;
Psalms 107:43	Whoso is wise, and will observe these things, even they shall understand the lovingkindness of the LORD.
Psalms 108:10	Who will bring me into the strong city? who will lead me into Edom?
Psalms 109:7	When he shall be judged, let him be condemned: and let his prayer become sin.
Psalms 109:17	As he loved cursing, so let it come unto him: as he delighted not in blessing, so let it be far from him.
Psalms 109:27	That they may know that this is thy hand; that thou, LORD, hast done it.
Psalms 110:6	He shall judge among the heathen, he shall fill the places with the dead bodies; he shall wound the heads over many countries.
Psalms 111:9	He sent redemption unto his people: he hath commanded his covenant for ever: holy and reverend is his name.
Psalms 112:9	He hath dispersed, he hath given to the poor; his righteousness endureth for ever; his horn shall be exalted with honour.
Psalms 113:9	He maketh the barren woman to keep house, and to be a joyful mother of children. Praise ye the LORD.
Psalms 115:2	Wherefore should the heathen say, Where is now their God?
Psalms 115:12	The LORD hath been mindful of us: he will bless us; he will bless the house of Israel; he will bless the house of Aaron.
Psalms 116:4	Then called I upon the name of the LORD; O LORD, I beseech thee, deliver my soul.
Psalms 116:14	I will pay my vows unto the LORD now in the presence of all his people.
Psalms 118:3	Let the house of Aaron now say, that his mercy endureth for ever.
Psalms 118:13	Thou hast thrust sore at me that I might fall: but the LORD helped me.
Psalms 118:23	This is the LORD's doing; it is marvellous in our eyes.
Psalms 119:4	Thou hast commanded us to keep thy precepts diligently.
Psalms 119:14	I have rejoiced in the way of thy testimonies, as much as in all riches.
Psalms 119:24	Thy testimonies also are my delight and my counsellors.
Psalms 119:34	Give me understanding, and I shall keep thy law; yea, I shall observe it with my whole heart.
Psalms 119:44	So shall I keep thy law continually for ever and ever.
Psalms 119:54	Thy statutes have been my songs in the house of my pilgrimage.
Psalms 119:64	The earth, O LORD, is full of thy mercy: teach me thy statutes.
Psalms 119:74	They that fear thee will be glad when they see me; because I have hoped in thy word.
Psalms 119:84	How many are the days of thy servant? when wilt thou execute judgment on them that persecute me?
Psalms 119:94	I am thine, save me: for I have sought thy precepts.
Psalms 119:104	Through thy precepts I get understanding: therefore I hate every false way.
Psalms 119:114	Thou art my hiding place and my shield: I hope in thy word.
Psalms 119:124	Deal with thy servant according unto thy mercy, and teach me thy statutes.
Psalms 119:134	Deliver me from the oppression of man: so will I keep thy precepts.
Psalms 119:144	The righteousness of thy testimonies is everlasting: give me understanding, and I shall live.
Psalms 119:154	Plead my cause, and deliver me: quicken me according to thy word.
Psalms 119:164	Seven times a day do I praise thee because of thy righteous judgments.
Psalms 119:174	I have longed for thy salvation, O LORD; and thy law is my delight.
Psalms 121:1	I will lift up mine eyes unto the hills, from whence cometh my help.
Psalms 122:3	Jerusalem is builded as a city that is compact together:
Psalms 123:4	Our soul is exceedingly filled with the scorning of those that are at ease, and with the contempt of the proud.
Psalms 125:2	As the mountains are round about Jerusalem, so the LORD is round about his people from henceforth even for ever.
Psalms 127:1	Except the LORD build the house, they labour in vain that build it: except the LORD keep the city, the watchman waketh but in vain.
Psalms 128:6	Yea, thou shalt see thy children's children, and peace upon Israel.
Psalms 130:2	Lord, hear my voice: let thine ears be attentive to the voice of my supplications.
Psalms 132:1	Lord, remember David, and all his afflictions:
Psalms 132:11	The LORD hath sworn in truth unto David; he will not turn from it; Of the fruit of thy body will I set upon thy throne.
Psalms 133:3	As the dew of Hermon, and as the dew that descended upon the mountains of Zion: for there the LORD commanded the blessing, even life for evermore.
Psalms 135:7	He causeth the vapours to ascend from the ends of the earth; he maketh lightnings for the rain; he bringeth the wind out of his treasuries.
Psalms 135:17	They have ears, but they hear not; neither is there any breath in their mouths.
Psalms 136:6	To him that stretched out the earth above the waters: for his mercy endureth for ever.
Psalms 136:16	To him which led his people through the wilderness: for his mercy endureth for ever.
Psalms 136:26	O give thanks unto the God of heaven: for his mercy endureth for ever.
Psalms 138:1	I will praise thee with my whole heart: before the gods will I sing praise unto thee.
Psalms 139:3	Thou compassest my path and my lying down, and art acquainted with all my ways.
Psalms 139:13	For thou hast possessed my reins: thou hast covered me in my mother's womb.
Psalms 139:23	Search me, O God, and know my heart: try me, and know my thoughts:
Psalms 140:9	As for the head of those that compass me about, let the mischief of their own lips cover them.
Psalms 141:6	When their judges are overthrown in stony places, they shall hear my words; for they are sweet.
Psalms 142:6	Attend unto my cry; for I am brought very low: deliver me from my persecutors; for they are stronger than I.
Psalms 143:9	Deliver me, O LORD, from mine enemies: I flee unto thee to hide me.
Psalms 144:7	Send thine hand from above; rid me, and deliver me out of great waters, from the hand of strange children;
Psalms 145:2	Every day will I bless thee; and I will praise thy name for ever and ever.
Psalms 145:12	To make known to the sons of men his mighty acts, and the glorious majesty of his kingdom.
Psalms 146:1	Praise ye the LORD. Praise the LORD, O my soul.
Psalms 147:1	Praise ye the LORD: for it is good to sing praises unto our God; for it is pleasant; and praise is comely.
Psalms 147:11	The LORD taketh pleasure in them that fear him, in those that hope in his mercy.
Psalms 148:1	Praise ye the LORD. Praise ye the LORD from the heavens: praise him in the heights.
Psalms 148:11	Kings of the earth, and all people; princes, and all judges of the earth:
Psalms 149:7	To execute vengeance upon the heathen, and punishments upon the people;
Proverbs 1:2	To know wisdom and instruction; to perceive the words of understanding;
Proverbs 1:12	Let us swallow them up alive as the grave; and whole, as those that go down into the pit:
Proverbs 1:22	How long, ye simple ones, will ye love simplicity? and the scorners delight in their scorning, and fools hate knowledge?
Proverbs 1:32	For the turning away of the simple shall slay them, and the prosperity of fools shall destroy them.
Proverbs 2:9	Then shalt thou understand righteousness, and judgment, and equity; yea, every good path.
Proverbs 2:19	None that go unto her return again, neither take they hold of the paths of life.
Proverbs 3:7	Be not wise in thine own eyes: fear the LORD, and depart from evil.
Proverbs 3:17	Her ways are ways of pleasantness, and all her paths are peace.
Proverbs 3:27	Withhold not good from them to whom it is due, when it is in the power of thine hand to do it.
Proverbs 4:2	For I give you good doctrine, forsake ye not my law.
Proverbs 4:12	When thou goest, thy steps shall not be straitened; and when thou runnest, thou shalt not stumble.
Proverbs 4:22	For they are life unto those that find them, and health to all their flesh.
Proverbs 5:5	Her feet go down to death; her steps take hold on hell.
Proverbs 5:15	Drink waters out of thine own cistern, and running waters out of thine own well.
Proverbs 6:2	Thou art snared with the words of thy mouth, thou art taken with the words of thy mouth.
Proverbs 6:12	A naughty person, a wicked man, walketh with a froward mouth.
Proverbs 6:22	When thou goest, it shall lead thee; when thou sleepest, it shall keep thee; and when thou awakest, it shall talk with thee.
Proverbs 6:32	But whoso committeth adultery with a woman lacketh understanding: he that doeth it destroyeth his own soul.
Proverbs 7:7	And beheld among the simple ones, I discerned among the youths, a young man void of understanding,
Proverbs 7:17	I have perfumed my bed with myrrh, aloes, and cinnamon.
Proverbs 7:27	Her house is the way to hell, going down to the chambers of death.
Proverbs 8:10	Receive my instruction, and not silver; and knowledge rather than choice gold.
Proverbs 8:20	I lead in the way of righteousness, in the midst of the paths of judgment:
Proverbs 8:30	Then I was by him, as one brought up with him: and I was daily his delight, rejoicing always before him;
Proverbs 9:4	Whoso is simple, let him turn in hither: as for him that wanteth understanding, she saith to him,
Proverbs 9:14	For she sitteth at the door of her house, on a seat in the high places of the city,
Proverbs 10:6	Blessings are upon the head of the just: but violence covereth the mouth of the wicked.
Proverbs 10:16	The labour of the righteous tendeth to life: the fruit of the wicked to sin.
Proverbs 10:26	As vinegar to the teeth, and as smoke to the eyes, so is the sluggard to them that send him.
Proverbs 11:4	Riches profit not in the day of wrath: but righteousness delivereth from death.
Proverbs 11:14	Where no counsel is, the people fall: but in the multitude of counsellors there is safety.
Proverbs 11:24	There is that scattereth, and yet increaseth; and there is that withholdeth more than is meet, but it tendeth to poverty.
Proverbs 12:3	A man shall not be established by wickedness: but the root of the righteous shall not be moved.
Proverbs 12:13	The wicked is snared by the transgression of his lips: but the just shall come out of trouble.
Proverbs 12:23	A prudent man concealeth knowledge: but the heart of fools proclaimeth foolishness.
Proverbs 13:5	A righteous man hateth lying: but a wicked man is loathsome, and cometh to shame.
Proverbs 13:15	Good understanding giveth favour: but the way of transgressors is hard.
Proverbs 13:25	The righteous eateth to the satisfying of his soul: but the belly of the wicked shall want.
Proverbs 14:10	The heart knoweth his own bitterness; and a stranger doth not intermeddle with his joy.
Proverbs 14:20	The poor is hated even of his own neighbour: but the rich hath many friends.
Proverbs 14:30	A sound heart is the life of the flesh: but envy the rottenness of the bones.
Proverbs 15:5	A fool despiseth his father's instruction: but he that regardeth reproof is prudent.
Proverbs 15:15	All the days of the afflicted are evil: but he that is of a merry heart hath a continual feast.
Proverbs 15:25	The LORD will destroy the house of the proud: but he will establish the border of the widow.
Proverbs 16:2	All the ways of a man are clean in his own eyes; but the LORD weigheth the spirits.
Proverbs 16:12	It is an abomination to kings to commit wickedness: for the throne is established by righteousness.
Proverbs 16:22	Understanding is a wellspring of life unto him that hath it: but the instruction of fools is folly.
Proverbs 16:32	He that is slow to anger is better than the mighty; and he that ruleth his spirit than he that taketh a city.
Proverbs 17:9	He that covereth a transgression seeketh love; but he that repeateth a matter separateth very friends.
Proverbs 17:19	He loveth transgression that loveth strife: and he that exalteth his gate seeketh destruction.
Proverbs 18:1	Through desire a man, having separated himself, seeketh and intermeddleth with all wisdom.
Proverbs 18:11	The rich man's wealth is his strong city, and as an high wall in his own conceit.
Proverbs 18:21	Death and life are in the power of the tongue: and they that love it shall eat the fruit thereof.
Proverbs 19:7	All the brethren of the poor do hate him: how much more do his friends go far from him? he pursueth them with words, yet they are wanting to him.
Proverbs 19:17	He that hath pity upon the poor lendeth unto the LORD; and that which he hath given will he pay him again.
Proverbs 19:27	Cease, my son, to hear the instruction that causeth to err from the words of knowledge.
Proverbs 20:8	A king that sitteth in the throne of judgment scattereth away all evil with his eyes.
Proverbs 20:18	Every purpose is established by counsel: and with good advice make war.
Proverbs 20:28	Mercy and truth preserve the king: and his throne is upholden by mercy.
Proverbs 21:8	The way of man is froward and strange: but as for the pure, his work is right.
Proverbs 21:18	The wicked shall be a ransom for the righteous, and the transgressor for the upright.
Proverbs 21:28	A false witness shall perish: but the man that heareth speaketh constantly.
Proverbs 22:7	The rich ruleth over the poor, and the borrower is servant to the lender.
Proverbs 22:17	Bow down thine ear, and hear the words of the wise, and apply thine heart unto my knowledge.
Proverbs 22:27	If thou hast nothing to pay, why should he take away thy bed from under thee?
Proverbs 23:8	The morsel which thou hast eaten shalt thou vomit up, and lose thy sweet words.
Proverbs 23:18	For surely there is an end; and thine expectation shall not be cut off.
Proverbs 23:28	She also lieth in wait as for a prey, and increaseth the transgressors among men.
Proverbs 24:3	Through wisdom is an house builded; and by understanding it is established:
Proverbs 24:13	My son, eat thou honey, because it is good; and the honeycomb, which is sweet to thy taste:
Proverbs 24:23	These things also belong to the wise. It is not good to have respect of persons in judgment.
Proverbs 24:33	Yet a little sleep, a little slumber, a little folding of the hands to sleep:
Proverbs 25:9	Debate thy cause with thy neighbour himself; and discover not a secret to another:
Proverbs 25:19	Confidence in an unfaithful man in time of trouble is like a broken tooth, and a foot out of joint.
Proverbs 26:1	As snow in summer, and as rain in harvest, so honour is not seemly for a fool.
Proverbs 26:11	As a dog returneth to his vomit, so a fool returneth to his folly.
Proverbs 26:21	As coals are to burning coals, and wood to fire; so is a contentious man to kindle strife.
Proverbs 27:3	A stone is heavy, and the sand weighty; but a fool's wrath is heavier than them both.
Proverbs 27:13	Take his garment that is surety for a stranger, and take a pledge of him for a strange woman.
Proverbs 27:23	Be thou diligent to know the state of thy flocks, and look well to thy herds.
Proverbs 28:6	Better is the poor that walketh in his uprightness, than he that is perverse in his ways, though he be rich.
Proverbs 28:16	The prince that wanteth understanding is also a great oppressor: but he that hateth covetousness shall prolong his days.
Proverbs 28:26	He that trusteth in his own heart is a fool: but whoso walketh wisely, he shall be delivered.
Proverbs 29:8	Scornful men bring a city into a snare: but wise men turn away wrath.
Proverbs 29:18	Where there is no vision, the people perish: but he that keepeth the law, happy is he.
Proverbs 30:1	The words of Agur the son of Jakeh, even the prophecy: the man spake unto Ithiel, even unto Ithiel and Ucal,
Proverbs 30:11	There is a generation that curseth their father, and doth not bless their mother.
Proverbs 30:21	For three things the earth is disquieted, and for four which it cannot bear:
Proverbs 30:31	A greyhound; an he goat also; and a king, against whom there is no rising up.
Proverbs 31:8	Open thy mouth for the dumb in the cause of all such as are appointed to destruction.
Proverbs 31:18	She perceiveth that her merchandise is good: her candle goeth not out by night.
Proverbs 31:28	Her children arise up, and call her blessed; her husband also, and he praiseth her.
Ecclesiastes 1:7	All the rivers run into the sea; yet the sea is not full; unto the place from whence the rivers come, thither they return again.
Ecclesiastes 1:17	And I gave my heart to know wisdom, and to know madness and folly: I perceived that this also is vexation of spirit.
Ecclesiastes 2:9	So I was great, and increased more than all that were before me in Jerusalem: also my wisdom remained with me.
Ecclesiastes 2:19	And who knoweth whether he shall be a wise man or a fool? yet shall he have rule over all my labour wherein I have laboured, and wherein I have shewed myself wise under the sun. This is also vanity.
Ecclesiastes 3:3	A time to kill, and a time to heal; a time to break down, and a time to build up;
Ecclesiastes 3:13	And also that every man should eat and drink, and enjoy the good of all his labour, it is the gift of God.
Ecclesiastes 4:1	So I returned, and considered all the oppressions that are done under the sun: and behold the tears of such as were oppressed, and they had no comforter; and on the side of their oppressors there was power; but they had no comforter.
Ecclesiastes 4:11	Again, if two lie together, then they have heat: but how can one be warm alone?
Ecclesiastes 5:5	Better is it that thou shouldest not vow, than that thou shouldest vow and not pay.
Ecclesiastes 5:15	As he came forth of his mother's womb, naked shall he return to go as he came, and shall take nothing of his labour, which he may carry away in his hand.
Ecclesiastes 6:5	Moreover he hath not seen the sun, nor known any thing: this hath more rest than the other.
Ecclesiastes 7:3	Sorrow is better than laughter: for by the sadness of the countenance the heart is made better.
Ecclesiastes 7:13	Consider the work of God: for who can make that straight, which he hath made crooked?
Ecclesiastes 7:23	All this have I proved by wisdom: I said, I will be wise; but it was far from me.
Ecclesiastes 8:4	Where the word of a king is, there is power: and who may say unto him, What doest thou?
Ecclesiastes 8:14	There is a vanity which is done upon the earth; that there be just men, unto whom it happeneth according to the work of the wicked; again, there be wicked men, to whom it happeneth according to the work of the righteous: I said that this also is vanity.
Ecclesiastes 9:7	Go thy way, eat thy bread with joy, and drink thy wine with a merry heart; for God now accepteth thy works.
Ecclesiastes 9:17	The words of wise men are heard in quiet more than the cry of him that ruleth among fools.
Ecclesiastes 10:9	Whoso removeth stones shall be hurt therewith; and he that cleaveth wood shall be endangered thereby.
Ecclesiastes 10:19	A feast is made for laughter, and wine maketh merry: but money answereth all things.
Ecclesiastes 11:9	Rejoice, O young man, in thy youth; and let thy heart cheer thee in the days of thy youth, and walk in the ways of thine heart, and in the sight of thine eyes: but know thou, that for all these things God will bring thee into judgment.
Ecclesiastes 12:9	And moreover, because the preacher was wise, he still taught the people knowledge; yea, he gave good heed, and sought out, and set in order many proverbs.
Song of Solomon 1:5	I am black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.
Song of Solomon 1:15	Behold, thou art fair, my love; behold, thou art fair; thou hast doves' eyes.
Song of Solomon 2:8	The voice of my beloved! behold, he cometh leaping upon the mountains, skipping upon the hills.
Song of Solomon 3:1	By night on my bed I sought him whom my soul loveth: I sought him, but I found him not.
Song of Solomon 3:11	Go forth, O ye daughters of Zion, and behold king Solomon with the crown wherewith his mother crowned him in the day of his espousals, and in the day of the gladness of his heart.
Song of Solomon 4:10	How fair is thy love, my sister, my spouse! how much better is thy love than wine! and the smell of thine ointments than all spices!
Song of Solomon 5:4	My beloved put in his hand by the hole of the door, and my bowels were moved for him.
Song of Solomon 5:14	His hands are as gold rings set with the beryl: his belly is as bright ivory overlaid with sapphires.
Song of Solomon 6:8	There are threescore queens, and fourscore concubines, and virgins without number.
Song of Solomon 7:5	Thine head upon thee is like Carmel, and the hair of thine head like purple; the king is held in the galleries.
Song of Solomon 8:2	I would lead thee, and bring thee into my mother's house, who would instruct me: I would cause thee to drink of spiced wine of the juice of my pomegranate.
